CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
73,65,31,0,850,1990,1990
96,0,87,0,1390,1927,2017
69,0,69,0,1523,1956,2005
74,0,75,0,1488,1948,1984
96,0,88,0,4907,1959,2020
99,0,97,0,6100,1959,2020
88,0,76,0,6900,1930,2011
72,0,53,0,7300,1930,2011
82,0,60,0,8100,1930,2011
96,0,89,0,5470,1930,2011
94,0,80,0,4333,1930,2022
98,74,83,0,2320,2022,2022
87,0,91,0,2380,1980,2018
93,0,94,0,2380,1980,2017
95,0,94,0,2555,1980,2018
89,0,85,0,2805,1978,2014
87,0,85,0,2750,1978,2014
90,28,37,0,3055,1978,1978
89,0,86,0,4210,1974,2014
74,61,54,0,1490,1979,1979
67,0,67,0,2695,1929,2007
69,0,71,0,2557,1936,2007
100,0,95,0,3013,1933,2021
25,0,39,0,4077,1965,1965
35,0,10,0,4207,1933,1965
32,0,23,0,3565,1965,1965
99,77,82,0,2980,2018,2018
94,78,69,0,2860,2018,2018
