CONYR,RESYR,PCI_2,CRACK_INDX,IRI,AADT,TRUCKS,years_since_repair
1928.0,1974.0,38.0,76.0,255.49,8900.0,440.0,51.0
1948.0,1960.0,66.0,82.0,143.91,6552.0,432.0,65.0
1995.0,2022.0,87.0,100.0,101.14,3770.0,420.0,3.0
1995.0,0.0,38.0,56.0,164.45,3564.0,454.0,30.0
1999.0,2022.0,89.0,100.0,95.53,2610.0,586.0,3.0
1937.0,2015.0,67.0,68.0,100.68,2892.0,767.0,10.0
1937.0,2014.0,86.0,85.0,55.16,2760.0,857.0,11.0
1937.0,2014.0,85.0,84.0,55.58,3115.0,857.0,11.0
1962.0,2011.0,73.0,69.0,88.62,2712.0,696.0,14.0
1937.0,2012.0,71.0,63.0,72.74,2640.0,480.0,13.0
1958.0,2010.0,80.0,76.0,59.0,1560.0,629.0,15.0
1958.0,2009.0,72.0,66.0,67.41,1660.0,629.0,16.0
1958.0,2009.0,61.0,51.0,86.71,1560.0,626.0,16.0
1952.0,2013.0,82.0,88.0,72.32,1810.0,622.0,12.0
1956.0,1991.0,64.0,54.0,94.83,1720.0,622.0,34.0
1956.0,1991.0,67.0,62.0,88.09,1720.0,623.0,34.0
1956.0,1991.0,68.0,82.0,116.73,2630.0,704.0,34.0
1986.0,0.0,77.0,92.0,118.72,4920.0,304.0,39.0
2012.0,0.0,70.0,85.0,135.4,6300.0,304.0,13.0
1966.0,2018.0,83.0,92.0,77.23,5210.0,310.0,7.0
1979.0,0.0,43.0,35.0,171.47,3018.0,280.0,46.0
1940.0,2006.0,67.0,72.0,105.27,1754.0,181.0,19.0
1952.0,2006.0,72.0,75.0,94.77,660.0,71.0,19.0
1952.0,2006.0,70.0,79.0,110.96,420.0,43.0,19.0
1939.0,2021.0,96.0,100.0,44.69,1180.0,202.0,4.0
1939.0,2021.0,88.0,90.0,56.66,1440.0,282.0,4.0
1938.0,1994.0,43.0,44.0,175.44,1375.0,282.0,31.0
1970.0,2013.0,85.0,83.0,60.4,2254.0,421.0,12.0
1930.0,2023.0,93.0,100.0,70.05,2863.0,368.0,2.0
1970.0,1994.0,54.0,55.0,122.26,3090.0,323.0,31.0
1930.0,1987.0,49.0,36.0,104.77,3260.0,323.0,38.0
1930.0,2007.0,35.0,27.0,206.59,3700.0,325.0,18.0
1958.0,2007.0,47.0,39.0,174.05,4344.0,275.0,18.0
1930.0,2023.0,91.0,100.0,82.39,1830.0,198.0,2.0
1930.0,2023.0,93.0,100.0,70.05,1720.0,198.0,2.0
1997.0,2023.0,93.0,100.0,71.6,1720.0,198.0,2.0
1997.0,2023.0,93.0,100.0,71.6,1720.0,198.0,2.0
1997.0,2023.0,93.0,100.0,71.6,1720.0,198.0,2.0
1930.0,2023.0,93.0,100.0,70.05,1540.0,196.0,2.0
1976.0,2023.0,93.0,100.0,70.05,1450.0,195.0,2.0
1930.0,2023.0,93.0,100.0,70.05,1450.0,195.0,2.0
1928.0,2004.0,60.0,60.0,122.6,1503.0,245.0,21.0
1968.0,2020.0,94.0,95.0,33.25,2609.0,390.0,5.0
1968.0,2019.0,94.0,99.0,42.61,4652.0,443.0,6.0
1968.0,2019.0,93.0,98.0,48.35,5879.0,325.0,6.0
2017.0,0.0,79.0,99.0,110.18,6789.0,212.0,8.0
1996.0,0.0,66.0,78.0,129.74,4392.0,224.0,29.0
1997.0,2023.0,93.0,100.0,71.6,3905.0,258.0,2.0
1930.0,2017.0,90.0,97.0,48.78,2458.0,277.0,8.0
1930.0,2013.0,82.0,92.0,79.28,1760.0,273.0,12.0
1928.0,2013.0,62.0,77.0,170.07,1760.0,273.0,12.0
1928.0,2015.0,83.0,88.0,79.89,1888.0,208.0,10.0
1957.0,0.0,39.0,58.0,200.83,3470.0,204.0,68.0
1966.0,0.0,14.0,35.0,310.78,3444.0,230.0,59.0
1929.0,1998.0,44.0,49.0,156.13,2867.0,235.0,27.0
1929.0,1998.0,53.0,46.0,91.78,2820.0,234.0,27.0
1929.0,1998.0,64.0,60.0,75.77,2820.0,234.0,27.0
1929.0,1998.0,50.0,53.0,124.48,2820.0,234.0,27.0
1929.0,1998.0,52.0,53.0,117.78,2018.0,234.0,27.0
1961.0,1998.0,67.0,74.0,120.7,1344.0,182.0,27.0
1929.0,1998.0,59.0,59.0,103.83,2130.0,273.0,27.0
1929.0,1998.0,56.0,57.0,131.76,2130.0,273.0,27.0
1928.0,1998.0,42.0,41.0,137.22,2130.0,273.0,27.0
1928.0,1998.0,71.0,79.0,88.32,2130.0,273.0,27.0
1928.0,1998.0,47.0,47.0,139.07,2555.0,317.0,27.0
1929.0,1998.0,22.0,28.0,222.73,3425.0,409.0,27.0
2013.0,0.0,70.0,87.0,129.55,3260.0,370.0,12.0
1936.0,2007.0,81.0,91.0,84.28,2708.0,349.0,18.0
1936.0,2006.0,72.0,86.0,114.84,2110.0,286.0,19.0
1936.0,2006.0,82.0,95.0,82.38,2405.0,286.0,19.0
1935.0,2006.0,67.0,70.0,113.55,3006.0,288.0,19.0
1940.0,2006.0,77.0,93.0,103.21,2213.0,252.0,19.0
1948.0,2009.0,68.0,75.0,121.59,990.0,140.0,16.0
1942.0,2004.0,70.0,82.0,131.92,798.0,140.0,21.0
1940.0,2009.0,65.0,57.0,85.79,665.0,140.0,16.0
1940.0,2021.0,87.0,95.0,70.3,1770.0,231.0,4.0
1927.0,2021.0,87.0,95.0,75.32,1770.0,231.0,4.0
2020.0,0.0,86.0,100.0,81.83,1760.0,231.0,5.0
2019.0,0.0,85.0,100.0,83.86,1750.0,230.0,6.0
2023.0,0.0,87.0,100.0,101.14,1760.0,193.0,2.0
1927.0,2001.0,50.0,63.0,174.18,1710.0,128.0,24.0
1927.0,2001.0,66.0,70.0,116.23,1710.0,128.0,24.0
1927.0,2011.0,64.0,64.0,111.5,1717.0,128.0,14.0
1927.0,2011.0,63.0,64.0,118.53,1720.0,129.0,14.0
1976.0,2011.0,67.0,74.0,119.81,2588.0,163.0,14.0
1976.0,2017.0,85.0,88.0,72.34,5200.0,266.0,8.0
1967.0,2013.0,80.0,92.0,95.07,935.0,218.0,12.0
1958.0,2016.0,84.0,87.0,58.99,2476.0,240.0,9.0
1957.0,2011.0,76.0,78.0,69.56,1830.0,319.0,14.0
1957.0,2012.0,74.0,75.0,99.65,2020.0,323.0,13.0
1957.0,2012.0,77.0,74.0,80.9,1785.0,215.0,13.0
1954.0,2012.0,85.0,87.0,65.16,2133.0,284.0,13.0
1986.0,0.0,82.0,89.0,93.15,2180.0,304.0,39.0
1938.0,1993.0,35.0,14.0,127.79,4283.0,618.0,32.0
1930.0,1993.0,51.0,27.0,88.14,3853.0,550.0,32.0
1931.0,1993.0,47.0,32.0,86.73,3748.0,550.0,32.0
1931.0,1984.0,60.0,46.0,85.15,3670.0,549.0,41.0
1930.0,2007.0,58.0,47.0,105.55,3621.0,549.0,18.0
2007.0,0.0,77.0,89.0,108.6,2730.0,646.0,18.0
2000.0,0.0,74.0,91.0,127.98,4300.0,943.0,25.0
2003.0,0.0,73.0,90.0,129.13,3598.0,804.0,22.0
2003.0,2005.0,76.0,76.0,89.63,4500.0,828.0,20.0
2003.0,0.0,61.0,59.0,125.14,4533.0,824.0,22.0
2003.0,0.0,73.0,84.0,122.98,4766.0,887.0,22.0
1999.0,0.0,73.0,70.0,90.06,5416.0,982.0,26.0
1998.0,0.0,61.0,60.0,122.99,7000.0,1050.0,27.0
1997.0,0.0,77.0,96.0,119.79,9260.0,526.0,28.0
2000.0,0.0,73.0,81.0,107.62,11856.0,2227.0,25.0
2000.0,0.0,73.0,84.0,113.39,12985.0,2196.0,25.0
2002.0,0.0,75.0,78.0,96.1,13894.0,2058.0,23.0
2007.0,0.0,78.0,87.0,94.88,3125.0,766.0,18.0
1966.0,2003.0,66.0,61.0,101.72,4300.0,943.0,22.0
1931.0,2003.0,55.0,44.0,113.11,4300.0,943.0,22.0
1938.0,1994.0,47.0,43.0,150.98,1430.0,282.0,31.0
1938.0,1995.0,63.0,65.0,120.73,1150.0,247.0,30.0
1938.0,1995.0,62.0,57.0,104.27,870.0,211.0,30.0
1991.0,0.0,65.0,66.0,116.9,1103.0,209.0,34.0
1938.0,1993.0,47.0,31.0,123.27,1570.0,204.0,32.0
1947.0,2013.0,74.0,73.0,81.89,2083.0,577.0,12.0
1937.0,2013.0,73.0,72.0,80.67,2270.0,701.0,12.0
1937.0,2014.0,62.0,69.0,137.61,2598.0,741.0,11.0
1937.0,2014.0,78.0,75.0,76.12,3020.0,741.0,11.0
1937.0,2014.0,77.0,71.0,72.34,3020.0,739.0,11.0
1940.0,1992.0,51.0,49.0,148.98,2857.0,695.0,33.0
1975.0,0.0,26.0,42.0,226.86,2810.0,678.0,50.0
1933.0,1995.0,62.0,61.0,123.21,3350.0,656.0,30.0
1934.0,1995.0,57.0,60.0,121.27,3380.0,636.0,30.0
1936.0,1995.0,53.0,65.0,142.26,2595.0,518.0,30.0
1935.0,1995.0,49.0,74.0,187.47,2247.0,399.0,30.0
